,model,algo,params,mean_squared_error,mean_abs_error,median_abs_error
11,11.0,Regression,"{'degree': 3, 'mode': 'lasso'}",0.645927625236478,0.7100059326685024,0.6698403435608823
2,2.0,Regression,"{'degree': 2, 'mode': 'linear'}",1.5590937740043929,1.076378742416639,0.9761275882332427
6,6.0,Regression,"{'degree': 2, 'mode': 'ridge'}",1.5757040654542864,1.0821025046706285,0.9813125439526801
10,10.0,Regression,"{'degree': 2, 'mode': 'lasso'}",1.5802031719781313,1.0835954869690039,0.9826048043902419
14,14.0,Regression,"{'degree': 2, 'mode': 'bayesian_ridge'}",1.5933273067836855,1.088155925216412,0.98678016791274
4,4.0,Regression,"{'degree': 4, 'mode': 'linear'}",30.122024639736342,3.9813334509678007,2.6535366099309696
8,8.0,Regression,"{'degree': 4, 'mode': 'ridge'}",30.321298510178572,3.994474201310126,2.66229963584425
16,16.0,Regression,"{'degree': 4, 'mode': 'bayesian_ridge'}",30.560172324965293,4.010136690430155,2.672728394473171
49,49.0,PyFluxARIMA,"{'ma': 8, 'ar': 13, 'family': 'Cauchy'}",65.86156655801874,4.0247913741113015,0.5459827282918457
51,51.0,PyFluxARIMA,"{'ma': 6, 'ar': 10, 'family': 'Cauchy'}",86.69523466972414,5.386734502941293,1.654579167640123
