,model,algo,params,mean_abs_error,mean_squared_error,median_abs_error
48,48.0,PyFluxARIMA,"{'ar': 13, 'ma': 10, 'family': 'Cauchy'}",0.2343546688399887,0.09438219804229525,0.1726254488588866
17,17.0,fbProphet,{'growth': 'linear'},0.30580933854693904,0.15767836678350713,0.24826575690704375
11,11.0,Regression,"{'degree': 3, 'mode': 'lasso'}",0.4252421836444519,0.3292226703786148,0.33681198589265227
15,15.0,Regression,"{'degree': 3, 'mode': 'bayesian_ridge'}",0.48546436622251615,0.41398207659221103,0.39000022001300416
7,7.0,Regression,"{'degree': 3, 'mode': 'ridge'}",0.48561105841811164,0.41420195639790997,0.3901217728379041
3,3.0,Regression,"{'degree': 3, 'mode': 'linear'}",0.4856110856647865,0.4142019972441317,0.3901217954151751
12,12.0,Regression,"{'degree': 4, 'mode': 'lasso'}",0.7403765684176665,0.9248087710296024,0.5949973482782216
16,16.0,Regression,"{'degree': 4, 'mode': 'bayesian_ridge'}",1.4015925307070345,3.2594343304409943,1.1104128629957648
8,8.0,Regression,"{'degree': 4, 'mode': 'ridge'}",1.4021359646463725,3.261963903939366,1.1108268549455178
4,4.0,Regression,"{'degree': 4, 'mode': 'linear'}",1.4021360616191894,3.261964355399814,1.1108269288249155
